2020-04-08 18:23:24, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:23:39, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:23:54, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:24:09, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:24:24, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:24:39, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:24:54, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:25:09, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:25:24, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:25:39, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:25:54, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:26:09, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:26:24, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:26:39, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:26:54, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:27:09, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:27:24, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:27:39, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:27:54, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:28:09, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:28:24, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:28:39, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:28:54, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:29:09, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:29:24, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014363, 	133.07759999, 	0.257606%, 	0.240000%, 	0.017606%
2020-04-08 18:29:39, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014431, 	133.07759999, 	-0.214815%, 	0.240000%, 	-0.454815%
